SurveyResponseID,AnswerNumber,TripID,SpendType,ImputedSpendAmt,NonImputedSpendAmt,IndivOrTotalCosts,NoPeople,NoChildren,TripYear,TripQtr,TripType,POV,NoNightsOnTrip,ImputedSpendAccom,ImputedSpendTrnsport,SmoothedTripWeight,ExpenditureWeight,RespondentWeight
2789035,33,16996101,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,194.672265290571,9069.8753380559,9069.8753380559,173.942814702442
2789234,33,17016001,Alcohol,2.42863720073665,0,Individual,1,0,2010,3,Day Trip,Publicised special event,NA,NA,12.2287725852329,21283.9985247473,21283.9985247473,408.186273077345
2789311,33,17023701,Alcohol,1.72631578947368,12,Total,2,0,2010,3,Day Trip,Visiting friends,NA,NA,36.5504015023532,6194.26484910845,6194.26484910845,118.794120393861
2789337,33,17026301,Alcohol,1.70666666666667,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,21.0446128647043,44910.5560995189,44910.5560995189,861.298336155157
2789501,33,17042701,Alcohol,1.70666666666667,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,14.573536788151,12561.6363770557,12561.6363770557,240.908094902438
2789912,33,17083801,Alcohol,3.47222222222222,0,Individual,1,0,2010,3,Day Trip,Participating in sports activity,NA,NA,18.4423494336183,18183.346268254,18183.346268254,348.721709254187
2789960,33,17088601,Alcohol,2.42863720073665,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,16.885488697547,8755.95545869366,8755.95545869366,167.922433454399
2790150,33,17107601,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,32.1901716772906,3548.54206994688,3548.54206994688,68.0542314784332
2790172,33,17109802,Alcohol,1.62373737373737,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,19.8657082121714,9792.5876961189,9792.5876961189,187.80305170639
2790317,33,17124301,Alcohol,3.56153846153846,15,Total,2,0,2010,3,Day Trip,Visiting relatives,NA,NA,18.4976668163492,12340.7456503956,12340.7456503956,236.671834391148
2790677,33,17160301,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,58.0128442134438,18044.8508506934,18044.8508506934,346.065632753025
2787443,33,16836901,Alcohol,2.62019230769231,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,42.1087869130139,3767.78638424521,3767.78638424521,72.2589169581272
2787568,33,16849401,Alcohol,7.35297397769517,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,28.6028579891395,7513.6140352706,7513.6140352706,144.096707525738
2787754,33,16868001,Alcohol,3.11734693877551,40,Individual,1,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,76.1335535309128,4699.28883569107,4699.28883569107,90.1233475338014
2787764,33,16869001,Alcohol,2.62019230769231,9,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,36.9163081074464,3706.96516533565,3706.96516533565,71.0924826228755
2787793,33,16871901,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,18.5904331007368,4730.65305513344,4730.65305513344,90.7248531121482
2788416,33,16934201,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,42.7921957084986,7123.38449226772,7123.38449226772,136.612853276367
2788477,33,16940301,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,21.0607874301632,8512.73104890228,8512.73104890228,163.257855732372
2788789,33,16971501,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,42.7921957084986,8419.40750749105,8419.40750749105,161.46808918476
2788850,33,16977601,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,25.2594433996412,8441.46164474968,8441.46164474968,161.891045241775
2788950,33,16987601,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,19.9181668835778,3399.45235373772,3399.45235373772,65.1949766470247
2788982,33,16990801,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,17.2624909146415,6455.53895381831,6455.53895381831,123.80485664857
2789027,33,16995301,Alcohol,3.98490813648294,0,Individual,1,0,2010,3,Day Trip,Publicised special event,NA,NA,63.4817316940929,11052.026225719,11052.026225719,211.956667342555
2789043,33,16996901,Alcohol,3.8801652892562,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,10.7401096529964,4293.14618217332,4293.14618217332,82.3343103430499
2789197,33,17012301,Alcohol,4.50682261208577,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,19.266649251994,20887.4293654364,20887.4293654364,400.580837145356
2789242,33,17016801,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Holiday,NA,NA,14.1539237974953,22585.0559673856,22585.0559673856,433.138059648492
2789653,33,17057901,Alcohol,1.62373737373737,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,22.0297209245561,9575.4642648401,9575.4642648401,183.639040695564
2789679,33,17060501,Alcohol,2.42863720073665,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,31.9233994929442,29901.1753423804,29901.1753423804,573.447198347021
2789689,33,17061502,Alcohol,2.42863720073665,60,Total,6,0,2010,3,Day Trip,Recreation,NA,NA,15.3395402531668,8483.21558901701,8483.21558901701,162.691805816764
2789962,33,17088801,Alcohol,3.98490813648294,0,Individual,1,0,2010,3,Day Trip,Hospital/Medical Treatment,NA,NA,28.8001933276698,20344.2804793414,20344.2804793414,390.164283165452
2790100,33,17102601,Alcohol,2.42863720073665,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,13.1070577339948,19748.5717748764,19748.5717748764,378.739732668862
2790164,33,17109001,Alcohol,1.72631578947368,30,Individual,1,0,2010,3,Day Trip,Publicised special event,NA,NA,16.9709905681324,6963.72177980979,6963.72177980979,133.550828653886
2790527,33,17145301,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,20.4328257035436,3811.80498694159,3811.80498694159,73.1031093386058
2790592,33,17151801,Alcohol,2.42863720073665,10,Total,4,0,2010,3,Day Trip,Attending wedding/Family Occasion/Funeral,NA,NA,29.9265570128339,11969.8071140713,11969.8071140713,229.557944653423
2790730,33,17165601,Alcohol,1.42702936096718,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,32.2730506351543,11287.6854725987,11287.6854725987,243.936752399582
2787416,33,16834201,Alcohol,3.98490813648294,0,Individual,1,0,2010,3,Day Trip,Recreation,NA,NA,18.8568294805129,11161.984917351,11161.984917351,214.065464168374
2787612,33,16853801,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Personal Business,NA,NA,258.866132385068,5329.43234684279,5329.43234684279,102.208291583286
2787619,33,16854501,Alcohol,1.62373737373737,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,12.6403953164909,17216.6793003481,17216.6793003481,330.182890691607
2787802,33,16872801,Alcohol,1.72631578947368,0,Individual,1,0,2010,3,Day Trip,Hospital/Medical Treatment,NA,NA,15.6236541454016,3518.14422469168,3518.14422469168,67.4712591036761
2787959,33,16888501,Alcohol,1.77022573735376,0,Individual,1,0,2010,3,Day Trip,Business   ,NA,NA,213.51755400338,9086.38689432693,9086.38689432693,174.259474685722
2788101,33,16902701,Alcohol,5.50458468176915,0,Individual,1,0,2010,3,Day Trip,Visiting friends,NA,NA,53.9721736343204,8952.99503530186,8952.99503530186,171.701274649625
2788319,33,16924501,Alcohol,2.62019230769231,0,Individual,1,0,2010,3,Day Trip,Visiting relatives,NA,NA,9.70751535974093,6194.26484910845,6194.26484910845,118.794120393861
